Crop,AlternatePlantName,Image,GrowInstruction,GrowthSpace,HarvestDuration,CompatiblePlant,IncompatiblePlant,AdditionalInfo,
Basil,,https://drive.google.com/file/d/1g5Qt4D5XWCo5mt8KygzOZWYdYiWPuvxd/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 8 - 10 inches apart,Harvest in 10-12 weeks. Pick before flowering.,Compatible with (can grow beside): Tomato,,"Basil is commonly used fresh in cooked recipes. It is generally added at the last moment, as cooking quickly destroys the flavour. Tear rather than chop. The fresh herb can be kept for a short time in plastic bags in the refrigerator, or for a longer period in the freezer, after being blanched quickly in boiling water.",
Beetroot,Beets,https://drive.google.com/file/d/1lplNAD5IyOoG67W_ovvpNXVHu2DlOscn/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45Â°F and 77Â°F. (Show Â°C/cm),Space plants: 8 - 12 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries","Avoid growing close to: Asparagus, Carrots, Sweetcorn, Spinach","Apart from boiling whole for salads, beetroot roast well, cut in wedges. They also make a tasty salad grated raw with carrot and a little fresh orange juice.",
Borage,"Burrage, Bugloss",https://drive.google.com/file/d/1dHGaAYRTMODK0TR5yluhRbqwVEtc5DDU/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm),Space plants: 8 inches apart,"Harvest in 8-10 weeks. Use leaves before flowers appear, otherwise they will be 'hairy'. .","Compatible with (can grow beside): Strawberry, tomatoes, zucchini/squash. Deters pests from many plants.",,Has a slight cucumber taste which goes well in salads and when cooked with silver beet or cabbage. The flowers make a pretty drink decoration when frozen in an iceblock.,
Broad beans,Fava bean,https://drive.google.com/file/d/1XuYX3aSJDIBVfZXis8HdrWJTc7Qam9Us/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43Â°F and 75Â°F. (Show Â°C/cm),Space plants: 6 - 10 inches apart,Harvest in 12-22 weeks. Pick frequently to encourage more pods.,"Compatible with (can grow beside): Dill, Potatoes",,The fresh beans are eaten steamed or boiled. As the beans mature it is better to remove their tough outer skins after cooking. The leafy top shoots of the adult plants can be picked and steamed after flowering. Small beans can be eaten whole in the pods.,Will freeze well. Remove from pods and blanch.
Broccoli,,https://drive.google.com/file/d/1N98A_Zk6Xk7JfbccwghdU4ifw0KyScRn/view?usp=sharing,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45Â°F and 86Â°F. (Show Â°C/cm)",Space plants: 14 - 20 inches apart,Harvest in 10-16 weeks. Cut flowerhead off with a knife..,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, oregano)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","The stem (peeled), leaves, and flowerhead are all edible. Steam for best flavour. Peel large stalks, slice and steam. Goes well with blue cheese sauce.",
Brussels sprouts,,https://drive.google.com/file/d/11DDYeJSzDty86Y7dJrcjl4OpumA30b_4/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45Â°F and 86Â°F. (Show Â°C/cm)",Space plants: 18 - 24 inches apart,Harvest in 14-28 weeks. Pick sprouts when small. .,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",Remove any discoloured outer leaves. Cut in half and steam with other vegetables. Do not overcook as that produces the distinctive smell that puts people off eating Brussels sprouts! They go well with a chopped tomato and onion mix.Traditionally served with roasted chestnuts for Xmas dinner in UK.,
Burdock,Gobo (Japanese Burdock),https://drive.google.com/file/d/1Wjp0XAGuIAeJPbY1AtnmrG4_PgJPycsw/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 68Â°F. (Show Â°C/cm),Space plants: 24 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Best grown in separate bed.,,"Harvest in the first year when the burdock root is very crisp and has a sweet, mild, and pungent flavour with a little muddy harshness that can be reduced by soaking julienne/shredded roots in water for five to ten minutes. Immature flower stalks may also be harvested in late spring, before flowers appear; the taste resembles that of artichoke, to which the burdock is related. It is a key ingredient in the traditional Dandelion and Burdock beer.",
Cabbage,,https://drive.google.com/file/d/1mfK7cY6-acwd6gKwniXGqQ4_sGLN1XP4/view?usp=sharing,"Easy to grow. Grow in seed trays, and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 41Â°F and 64Â°F. (Show Â°C/cm)",Space plants: 20 - 30 inches apart,Harvest in 11-15 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, thyme)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard, parsnip","Young spring cabbage can be chopped and added to salad greens. Steaming preserves the goodness and flavour of cabbage. Can also be used in stir-fry. Red cabbage chopped and cooked with brown sugar, red wine, onions, vinegar and stock is served with boiled bacon or pork.",
Cape Gooseberry,"Golden Berry, Inca Berry",https://drive.google.com/file/d/1I76XKUzQb6nDkVsCElVf2iNwOCw-Mw8_/view?usp=sharing,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50Â°F and 77Â°F. (Show Â°C/cm),Space plants: 20 inches apart,Harvest in 14-16 weeks.,Compatible with (can grow beside): Will happily grow in a flower border,,"The berry is the size of a cherry tomato, is very aromatic and full of tiny seeds. They are delicious eaten fresh or can be made into jam. They can be added to salads, desserts and cooked dishes, they are delicious stewed with other fruit, especially apples. They also go well in savoury dishes with meat or seafood.",Can be preserved dried.
Capsicum,"Bell peppers, Sweet peppers",https://drive.google.com/file/d/1VtvdBk67k-dLmwvRCJW8r8D_I5ezPEd2/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64Â°F and 95Â°F. (Show Â°C/cm)",Space plants: 8 - 20 inches apart,Harvest in 10-12 weeks. Cut fruit off with sharp knife.,"Compatible with (can grow beside): Egg plant (Aubergine), Nasturtiums, Basil, Parsley, Amaranth",,"Can be sliced and seeded and used raw in salads. Or brush with olive oil, roast at a high temperature until the skin changes colour then put in a covered dish until cool and rub off the skin and remove seeds.",Will freeze successfully without blanching if seeded and sliced.
Cardoon,,https://drive.google.com/file/d/1LI9Y7elFJlVzSEEGtRxkJwqmfsNMenSR/view?usp=sharing,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 55Â°F and 77Â°F. (Show Â°C/cm)",Space plants: 20 - 59 inches apart,Harvest in 34-35 weeks.,Compatible with (can grow beside): Best grown in separate bed.,,"Cut off the base and leaves, then cut the stalks into pieces. Boil the stalks for around 20 minutes until tender: drain, and peel off the surface of the stalks. Add precooked cardoons to a variety of dishes, they go well with mushrooms.",
