Crop,Johor,Kedah,Kelantan,Melaka,N Sembilan,Pahang,Perak,Perlis,Pinang,Sabah,Sarawak,Selangor,Terengganu
Rubber,A,B,A,A,A,A,A,B,A,A,A,A,A
Coconut,A,A,A,A,-,A,A,-,A,-,A,A,-
Oil-palm,A,A,B,A,A,A,A,B,A,A,A,A,A
Cocoa,A,-,-,A,A,A,A,-,-,A,A,A,B
Coffee,A,A,A,B,A,A,A,B,A,-,-,A,A
Paddy,A,A,A,A,A,A,A,A,A,A,A,A,A
Tobacco,-,A,A,-,-,-,-,A,B,-,-,-,A
Starfruit,A,A,B,A,B,A,A,B,A,-,B,A,A
Papaya,B,B,B,A,B,A,A,B,A,-,A,A,B
Cempedak,A,A,A,A,A,A,B,B,A,-,B,A,A
Durian,B,A,A,A,A,A,A,A,B,-,A,A,A
Sweet orange,A,A,A,A,A,A,A,A,B,-,A,A,A
Mango,A,A,A,A,B,A,A,A,A,-,B,A,A
Mongosteen,A,A,A,B,B,A,A,B,A,-,A,A,A
Pineapple,A,A,A,A,A,A,A,B,A,-,A,A,A
Jackfruit,A,A,A,A,A,A,A,A,A,-,A,A,A
Banana,A,A,B,A,B,B,A,B,A,-,A,B,A
Rambutan,A,A,A,A,A,A,A,B,A,-,A,A,A
Water melon,A,A,A,A,A,A,A,A,B,-,A,A,A
Chinese spinach,A,A,A,A,A,A,A,B,A,-,-,A,B
Lady's fingers,A,A,A,A,A,A,A,B,A,-,-,A,B
Chilli,A,A,A,A,A,A,A,A,A,-,-,A,A
Long bean,A,A,A,A,A,A,A,A,A,-,-,A,A
Cucumber,A,A,A,A,A,A,A,A,A,-,-,A,A
Tomato,A,B,A,A,B,A,B,B,B,-,-,A,A
Hot chilli,A,A,A,A,B,A,A,B,B,-,-,B,A
Ginger,A,B,A,B,B,A,A,B,A,-,-,A,B
Pepper,A,-,-,-,-,-,-,-,-,B,A,-,-
Lime,A,A,A,A,A,A,A,A,A,-,-,A,A
Lemon grass,A,A,A,A,A,A,A,A,A,-,-,A,A
Maize,B,A,A,B,A,A,A,A,A,-,-,A,A
Groundnut,B,B,A,B,B,A,A,B,B,-,-,B,A
Cassava,B,A,B,B,B,A,A,A,B,-,-,B,B
Sweet potato,A,B,A,A,B,B,B,B,B,-,-,A,B
Sago,B,B,B,-,-,-,-,-,-,-,A,-,-
